氨基,氨基,an1 ji1,an tɕi,4,i
氨基苯,氨基苯,an1 ji1 ben3,an tɕi pən,6,ə
氨基吡啶,氨基吡啶,an1 ji1 bi3 ding4,an tɕi pi tiŋ,7,t
氨基比林,氨基比林,an1 ji1 bi3 lin2,an tɕi pi lin,7,l
氨基醇,氨基醇,an1 ji1 chun2,an tɕi ʈʂʰwən,6,ʂʰ
氨基多肽酶,氨基多肽酶,an1 ji1 duo1 tai4 mei2,an tɕi twɔ tʰaɪ meɪ,5,t
氨基二苯胺,氨基二苯胺,an1 ji1 er4 ben3 an4,an tɕi ɑɻ pən an,5,ɑ
氨基合成酶,氨基合成酶,an1 ji1 he2 cheng2 mei2,an tɕi xɤ ʈʂʰɤŋ meɪ,5,x
氨基硫酸,氨基硫酸,an1 ji1 liu2 suan1,an tɕi ljoʊ swan,5,l
氨基噻唑,氨基噻唑,an1 ji1 sai1 zuo4,an tɕi saɪ tswɔ,6,a
氨基樹脂,氨基树脂,an1 ji1 shu4 zhi1,an tɕi ʂu ʈʂɨ,5,ʂ
氨基塑料,氨基塑料,an1 ji1 su4 liao4,an tɕi su ljɑʊ,6,u
氨基酸,氨基酸,an1 ji1 suan1,an tɕi swan,6,w
氨基酸定年術,氨基酸定年术,an1 ji1 suan1 ding4 nian2 shu4,an tɕi swan tiŋ njɛn ʂu,9,t
氨基酸尿,氨基酸尿,an1 ji1 suan1 niao4,an tɕi swan njɑʊ,9,n
氨基酸尿症,氨基酸尿症,an1 ji1 suan1 niao4 zheng4,an tɕi swan njɑʊ ʈʂɤŋ,9,n
氨基酸型糖尿病,氨基酸型糖尿病,an1 ji1 suan1 xing2 tang2 niao4 bing4,an tɕi swan ɕiŋ tʰɑŋ njɑʊ piŋ,9,ɕ
氨基糖,氨基糖,an1 ji1 tang2,an tɕi tʰɑŋ,6,ɑ
氨基酮,氨基酮,an1 ji1 tong2,an tɕi tʰʊŋ,6,ʊ
氨基纖維素,氨基纤维素,an1 ji1 xian1 wei2 su4,an tɕi ɕjɛn weɪ su,5,ɕ
氨基脂,氨基脂,an1 ji1 zhi1,an tɕi ʈʂɨ,6,ʂ
安家立業,安家立业,an1 jia1 li4 ye4,an tɕja li jɛ,5,a
氨鹼法,氨硷法,an1 jian3 fa3,an tɕjɛn fa,7,f
氨解,氨解,an1 jie3,an tɕjɛ,5,ɛ
安靜,安静,an1 jing4,an tɕiŋ,5,ŋ
安居樂業,安居乐业,an1 ju1 le4 ye4,an tɕy lɤ jɛ,4,y
安樂死,安乐死,an1 le4 si3,an lɤ sɯ,4,s
氨冷凍,氨冷冻,an1 leng3 dong4,an lɤŋ tʊŋ,4,ŋ
氨冷凍機,氨冷冻机,an1 leng3 dong4 ji1,an lɤŋ tʊŋ tɕi,4,ŋ
氨硫脲,氨硫脲,an1 liu2 niao4,an ljoʊ njɑʊ,3,j
氨倫,氨伦,an1 lun2,an lwən,4,ə
氨絡,氨络,an1 luo4,an lwɔ,4,ɔ
氨絡物,氨络物,an1 luo4 wu4,an lwɔ u,4,ɔ
安眠藥,安眠药,an1 mian2 yao4,an mjɛn jɑʊ,3,j
安寧,安宁,an1 ning2,an niŋ,3,i
安排,安排,an1 pai2,an pʰaɪ,3,a
氨氣,氨气,an1 qi4,an tɕʰi,4,i
氨氣壓縮機,氨气压缩机,an1 qi4 ya1 suo1 ji1,an tɕʰi ja swɔ tɕi,10,t
氨氣壓縮冷凍機,氨气压缩冷冻机,an1 qi4 ya1 suo1 leng3 dong4 ji1,an tɕʰi ja swɔ lɤŋ tʊŋ tɕi,10,l
安全,安全,an1 quan2,an tɕʰɥœn,4,ɥ
安全帶,安全带,an1 quan2 dai4,an tɕʰɥœn taɪ,8,a
安全島,安全岛,an1 quan2 dao3,an tɕʰɥœn tɑʊ,8,ɑ
安全感,安全感,an1 quan2 gan3,an tɕʰɥœn kan,7,k
安全帽,安全帽,an1 quan2 mao4,an tɕʰɥœn mɑʊ,7,m
安全套,安全套,an1 quan2 tao4,an tɕʰɥœn tʰɑʊ,7,tʰ
安全性,安全性,an1 quan2 xing4,an tɕʰɥœn ɕiŋ,7,ɕ
安上,安上,an1 shang4,an ʂɑŋ,3,ɑ
桉樹,桉树,an1 shu4,an ʂu,3,u
氨水,氨水,an1 shui3,an ʂweɪ,3,w
庵堂,庵堂,an1 tang2,an tʰɑŋ,2,tʰ
安慰,安慰,an1 wei4,an weɪ,2,w
安息,安息,an1 xi1,an ɕi,3,i
安祥,安祥,an1 xiang2,an ɕjɑŋ,3,j
安心,安心,an1 xin1,an ɕin,3,i
安心長眠,安心长眠,an1 xin1 chang2 mian2,an ɕin ʈʂʰɑŋ mjɛn,3,i
安逸,安逸,an1 yi4,an i,2,i
安營紮寨,安营扎寨,an1 ying2 zha1 zhai4,an iŋ ʈʂa ʈʂaɪ,2,i
安於現狀,安于现状,an1 yu2 xian4 zhuang4,an y ɕjɛn ʈʂwɑŋ,2,y
氨轉化器,氨转化器,an1 zhuan3 hua4 qi4,an ʈʂwan xwa tɕʰi,5,a
安裝,安装,an1 zhuang1,an ʈʂwɑŋ,5,ɑ
鞍子,鞍子,an1 zi5,an tsɯ,3,s
俺們,俺们,an3 men5,an mən,3,ə
按步就班,按步就班,an4 bu4 jiu4 ban1,an pu tɕjoʊ pan,5,ɕ
按電鈕,按电钮,an4 dian4 niu3,an tjɛn njoʊ,3,j
案牘,案牍,an4 du2,an tu,3,u
胺化,胺化,an4 hua4,an xwa,3,w
胺化劑,胺化剂,an4 hua4 ji4,an xwa tɕi,6,ɕ
胺化氧,胺化氧,an4 hua4 yang3,an xwa jɑŋ,5,j
胺基,胺基,an4 ji1,an tɕi,4,i
胺基酸,胺基酸,an4 ji1 suan1,an tɕi swan,6,w
案件,案件,an4 jian4,an tɕjɛn,5,ɛ
