氨基硫酸,氨基硫酸,an1 ji1 liu2 suan1,an tɕi ljoʊ swan
氨基噻唑,氨基噻唑,an1 ji1 sai1 zuo4,an tɕi saɪ tswɔ
氨基樹脂,氨基树脂,an1 ji1 shu4 zhi1,an tɕi ʂu ʈʂɨ
氨基塑料,氨基塑料,an1 ji1 su4 liao4,an tɕi su ljɑʊ
氨基酸,氨基酸,an1 ji1 suan1,an tɕi swan
氨基酸定年術,氨基酸定年术,an1 ji1 suan1 ding4 nian2 shu4,an tɕi swan tiŋ njɛn ʂu
氨基酸尿,氨基酸尿,an1 ji1 suan1 niao4,an tɕi swan njɑʊ
氨基酸尿症,氨基酸尿症,an1 ji1 suan1 niao4 zheng4,an tɕi swan njɑʊ ʈʂɤŋ
氨基酸型糖尿病,氨基酸型糖尿病,an1 ji1 suan1 xing2 tang2 niao4 bing4,an tɕi swan ɕiŋ tʰɑŋ njɑʊ piŋ
氨基糖,氨基糖,an1 ji1 tang2,an tɕi tʰɑŋ
氨基酮,氨基酮,an1 ji1 tong2,an tɕi tʰʊŋ
氨基纖維素,氨基纤维素,an1 ji1 xian1 wei2 su4,an tɕi ɕjɛn wɤ su
氨基脂,氨基脂,an1 ji1 zhi1,an tɕi ʈʂɨ
安家立業,安家立业,an1 jia1 li4 ye4,an tɕja li jɛ
氨鹼法,氨硷法,an1 jian3 fa3,an tɕjɛn fa
氨解,氨解,an1 jie3,an tɕjɛ
安靜,安静,an1 jing4,an tɕiŋ
安居樂業,安居乐业,an1 ju1 le4 ye4,an tɕy lɤ jɛ
安樂死,安乐死,an1 le4 si3,an lɤ sɯ
氨冷凍,氨冷冻,an1 leng3 dong4,an lɤŋ tʊŋ
氨冷凍機,氨冷冻机,an1 leng3 dong4 ji1,an lɤŋ tʊŋ tɕi
氨硫脲,氨硫脲,an1 liu2 niao4,an ljoʊ njɑʊ
氨倫,氨伦,an1 lun2,an lwən
氨絡,氨络,an1 luo4,an lwɔ
氨絡物,氨络物,an1 luo4 wu4,an lwɔ u
安眠藥,安眠药,an1 mian2 yao4,an mjɛn jɑʊ
安寧,安宁,an1 ning2,an niŋ
安排,安排,an1 pai2,an pʰaɪ
氨氣,氨气,an1 qi4,an tɕʰi
氨氣壓縮機,氨气压缩机,an1 qi4 ya1 suo1 ji1,an tɕʰi ja swɔ tɕi
氨氣壓縮冷凍機,氨气压缩冷冻机,an1 qi4 ya1 suo1 leng3 dong4 ji1,an tɕʰi ja swɔ lɤŋ tʊŋ tɕi
安全,安全,an1 quan2,an tɕʰɥœn
安全帶,安全带,an1 quan2 dai4,an tɕʰɥœn taɪ
安全島,安全岛,an1 quan2 dao3,an tɕʰɥœn tɑʊ
安全感,安全感,an1 quan2 gan3,an tɕʰɥœn kan
安全帽,安全帽,an1 quan2 mao4,an tɕʰɥœn mɑʊ
安全套,安全套,an1 quan2 tao4,an tɕʰɥœn tʰɑʊ
安全性,安全性,an1 quan2 xing4,an tɕʰɥœn ɕiŋ
安上,安上,an1 shang4,an ʂɑŋ
桉樹,桉树,an1 shu4,an ʂu
氨水,氨水,an1 shui3,an ʂweɪ
庵堂,庵堂,an1 tang2,an tʰɑŋ
安慰,安慰,an1 wei4,an wɤ
安息,安息,an1 xi1,an ɕi
安祥,安祥,an1 xiang2,an ɕjɑŋ
安心,安心,an1 xin1,an ɕin
安心長眠,安心长眠,an1 xin1 chang2 mian2,an ɕin ʈʂʰɑŋ mjɛn
安逸,安逸,an1 yi4,an i
安營紮寨,安营扎寨,an1 ying2 zha1 zhai4,an iŋ ʈʂa ʈʂaɪ
安於現狀,安于现状,an1 yu2 xian4 zhuang4,an y ɕjɛn ʈʂwɑŋ
氨轉化器,氨转化器,an1 zhuan3 hua4 qi4,an ʈʂwan xwa tɕʰi
安裝,安装,an1 zhuang1,an ʈʂwɑŋ
鞍子,鞍子,an1 zi5,an tsɯ
俺們,俺们,an3 men5,an mən
按步就班,按步就班,an4 bu4 jiu4 ban1,an pu tɕjoʊ pan
按電鈕,按电钮,an4 dian4 niu3,an tjɛn njoʊ
案牘,案牍,an4 du2,an tu
胺化,胺化,an4 hua4,an xwa
胺化劑,胺化剂,an4 hua4 ji4,an xwa tɕi
胺化氧,胺化氧,an4 hua4 yang3,an xwa jɑŋ
胺基,胺基,an4 ji1,an tɕi
胺基酸,胺基酸,an4 ji1 suan1,an tɕi swan
案件,案件,an4 jian4,an tɕjɛn
暗箭傷人,暗箭伤人,an4 jian4 shang1 ren2,an tɕjɛn ʂɑŋ ʐən
暗礁,暗礁,an4 jiao1,an tɕjɑʊ
按勞付酬,按劳付酬,an4 lao2 fu4 chou2,an lɑʊ fu ʈʂʰoʊ
按理,按理,an4 li3,an li
按門鈴,按门铃,an4 men2 ling2,an mən liŋ
按摩,按摩,an4 mo2,an mwɔ
按捺不住,按捺不住,an4 na4 bu4 zhu4,an na pu ʈʂu
按鈕,按钮,an4 niu3,an njoʊ
岸炮,岸炮,an4 pao4,an pʰɑʊ
暗切頭,暗切头,an4 qie4 kou3,an tɕʰjɛ kʰoʊ
案情,案情,an4 qing2,an tɕʰiŋ
胺醛樹脂,胺醛树脂,an4 quan2 shu4 zhi1,an tɕʰɥœn ʂu ʈʂɨ
岸然道貌,岸然道貌,an4 ran2 dao4 mao4,an ʐan tɑʊ mɑʊ
黯然銷魂,黯然销魂,an4 ran2 xiao1 hun2,an ʐan ɕjɑʊ xwən
按時,按时,an4 shi2,an ʂɨ
暗示,暗示,an4 shi4,an ʂɨ
胺酸,胺酸,an4 suan1,an swan
胺鹽,胺盐,an4 yan2,an jɛn
暗喻,暗喻,an4 yu4,an y
按章給付,按章给付,an4 zhang1 ji3 fu4,an ʈʂɑŋ tɕi fu
按照,按照,an4 zhao4,an ʈʂɑʊ
暗中,暗中,an4 zhong1,an ʈʂʊŋ
暗中勾結,暗中勾结,an4 zhong1 gou1 jie2,an ʈʂʊŋ koʊ tɕjɛ
暗中摸索,暗中摸索,an4 zhong1 mo1 suo3,an ʈʂʊŋ mwɔ swɔ
暗中行事,暗中行事,an4 zhong1 xing2 shi4,an ʈʂʊŋ ɕiŋ ʂɨ
暗自竊喜,暗自窃喜,an4 zi4 qie4 xi3,an tsɯ tɕʰjɛ ɕi
案子,案子,an4 zi5,an tsɯ
骯髒,肮脏,ang1 zang1,ɑŋ tsɑŋ
昂貴,昂贵,ang2 gui4,ɑŋ kweɪ
盎司,盎司,ang4 si1,ɑŋ sɯ
凹凸,凹凸,ao1 tu1,ɑʊ tʰu
鰲拜,鳌拜,ao2 bai4,ɑʊ paɪ
獒犬,獒犬,ao2 quan3,ɑʊ tɕʰɥœn
鰲頭,鳌头,ao2 tou2,ɑʊ tʰoʊ
翱翔,翱翔,ao2 xiang2,ɑʊ ɕjɑŋ
遨遊,遨游,ao2 you2,ɑʊ yoʊ
傲骨嶙峋,傲骨嶙峋,ao4 gu3 lin2 xun2,ɑʊ ku lin ɕyn
懊悔,懊悔,ao4 hui3,ɑʊ xweɪ
拗口,拗口,ao4 kou3,ɑʊ kʰoʊ
拗口令,拗口令,ao4 kou3 ling4,ɑʊ kʰoʊ liŋ
傲慢,傲慢,ao4 man4,ɑʊ man
奧妙,奥妙,ao4 miao4,ɑʊ mjɑʊ
傲視,傲视,ao4 shi4,ɑʊ ʂɨ
奧陶紀,奥陶纪,ao4 tao2 ji4,ɑʊ tʰɑʊ tɕi
巴巴,巴巴,ba1 ba1,pa pa
巴巴結結,巴巴结结,ba1 ba5 jie1 jie1,pa pa tɕjɛ tɕjɛ
巴不得,巴不得,ba1 bu5 de2,pa pu tɤ
扒車,扒车,ba1 che1,pa ʈʂʰɤ
八成,八成,ba1 cheng2,pa ʈʂʰɤŋ
扒帶,扒带,ba1 dai4,pa taɪ
扒帶子,扒带子,ba1 dai4 zi5,pa taɪ tsɯ
八點,八点,ba1 dian3,pa tjɛn
八點半,八点半,ba1 dian3 ban4,pa tjɛn pan
八點鐘,八点钟,ba1 dian3 zhong1,pa tjɛn ʈʂʊŋ
巴兒狗,巴儿狗,ba1 er5 gou3,pa ɑɻ koʊ
八竿子打不著,八竿子打不着,ba1 gan1 zi5 da3 bu5 zhao2,pa kan tsɯ ta pu ʈʂɑʊ
八卦,八卦,ba1 gua4,pa kwa
疤痕,疤痕,ba1 hen2,pa xən
芭蕉,芭蕉,ba1 jiao1,pa tɕjɑʊ
芭蕉扇,芭蕉扇,ba1 jiao1 shan4,pa tɕjɑʊ ʂan
八角,八角,ba1 jiao3,pa tɕjɑʊ
巴結,巴结,ba1 jie5,pa tɕjɛ
扒拉,扒拉,ba1 la5,pa la
芭蕾,芭蕾,ba1 lei3,pa lɤ
芭蕾舞,芭蕾舞,ba1 lei3 wu3,pa lɤ u
八面玲瓏,八面玲珑,ba1 mian4 ling2 long2,pa mjɛn liŋ lʊŋ
扒皮,扒皮,ba1 pi2,pa pʰi
巴士,巴士,ba1 shi4,pa ʂɨ
扒頭,扒头,ba1 tou5,pa tʰoʊ
扒土,扒土,ba1 tu3,pa tʰu
巴望,巴望,ba1 wang4,pa wɑŋ
八月,八月,ba1 yue4,pa ɥœ
